This is my second pair and I have nothing but good things to say!  Comfortable, good bass depth and very durable. Volume control is a huge plus, especially in the workshop which is where I am most of the time.	1
Listening to music through these headphones is like listening to music through a blanket.  Everything sounds muted, the highs don't extend very far, the lows are almost non existent.  Their sound is anything but clear.  Dynamics?  Forget about itI'm looking for a $20ish pair of headphones to keep in my backpack at all times.  I figured these might do the job...but wow was I wrong.I found the Sony MDR-XD100, which is actually cheaper, sound much better.  Did I mention the build quality sucks?  The XD100s are a little more durable but still leave much to be desired.  Perhaps that's just low end Sonys in general?I'm thinking about just dropping the extra few bucks for a pair of Sennheiser PX100s or AKG K81DJs.My main headphones are the Grado SR-80 and BeyerDynamic DT990s...I know what good sounds like.  All my music is either FLAC or 192 Kbps VBR mp3s.I'm giving these headphones a two star because I've heard worse...and much better for cheaper.	0
This is my second pair and I have nothing but good things to say!  Comfortable, good bass depth and very durable. Volume control is a huge plus, especially in the workshop which is where I am most of the time.	1
Listening to music through these headphones is like listening to music through a blanket.  Everything sounds muted, the highs don't extend very far, the lows are almost non existent.  Their sound is anything but clear.  Dynamics?  Forget about itI'm looking for a $20ish pair of headphones to keep in my backpack at all times.  I figured these might do the job...but wow was I wrong.I found the Sony MDR-XD100, which is actually cheaper, sound much better.  Did I mention the build quality sucks?  The XD100s are a little more durable but still leave much to be desired.  Perhaps that's just low end Sonys in general?I'm thinking about just dropping the extra few bucks for a pair of Sennheiser PX100s or AKG K81DJs.My main headphones are the Grado SR-80 and BeyerDynamic DT990s...I know what good sounds like.  All my music is either FLAC or 192 Kbps VBR mp3s.I'm giving these headphones a two star because I've heard worse...and much better for cheaper.	0
Item arrived quickly and in great condition.  I am very satisfied with the headphones and will probably purchase another set in the near future.	1
Perhaps I'm just used to real studio headphones, but these don't even sound as good as my in ear monitors.  I'd like to give them a break for only being $20, but considering the fact that these are practically unusable without a high boost and mid cut EQ, it's hard to justify the purchase.  I just do not know why these lack so much high end and boost the 250-500k frequencies so much.  After cutting these frequencies in iTunes, they don't sound bad, but you shouldn't have to run an EQ to get a decent sound.  Only thing I like about these is the inline volume control.Do yourself a favor and spend a few extra bucks on a higher end model.  You'll be happy you did.	0
Item arrived quickly and in great condition.  I am very satisfied with the headphones and will probably purchase another set in the near future.	1
Perhaps I'm just used to real studio headphones, but these don't even sound as good as my in ear monitors.  I'd like to give them a break for only being $20, but considering the fact that these are practically unusable without a high boost and mid cut EQ, it's hard to justify the purchase.  I just do not know why these lack so much high end and boost the 250-500k frequencies so much.  After cutting these frequencies in iTunes, they don't sound bad, but you shouldn't have to run an EQ to get a decent sound.  Only thing I like about these is the inline volume control.Do yourself a favor and spend a few extra bucks on a higher end model.  You'll be happy you did.	0
I have the MDR-150's and these have the exact same sound quality. I have bought several different brands in various price ranges (all the way up to $100), and these are the best bang for the buck. I don't intend to use the built in volume control so hopefully the sound doesn't go out like some of the other reviewers have experienced. The only problem with these Sony's is that fake leather they put on the ear muffs.. it rubs off eventually and it will stick to your ears. Would buy these again if they last a few years.	1
This is a nice unit, and it is interesting to read the glowing reviews of customers who have owned the Garmin eMap for two or three weeks. I have owned the unit for over a year. It works well in the US. It will not guide you street by street to a location, but it will guide you &quot;as the crow flys.&quot; You get a straight line between you and the destination. It works.It does not work well in Europe. I purchased the UK and French CDs. I installed them on the memory card and used them in England, Wales, and all over France. The first problem is that the Garmin eMap just doesn't pick up or hold on to the GPS satellites in Europe very well. It may be that they are too far south or that the antenna is designed for use in US latitudes. I have no explanation but if you intend to use this in Europe, look for another unit.The second problem is that even after loading the UK and French MetroGuides, when you press the Find button you get a list of US cities. I disabled the US city maps and I still got the list of US cities. You cannot &quot;Find&quot; and navigate to a foreign city. The only way to navigate is to know where the city is, then scroll to it on the tiny eMap screen and click on it. If you don't know where the city or tiny Welsh village is, then you are completely out of luck. Very frustrating either way. Again, if you are travelling out of the US you should steer clear of the eMap.My other problem is with Garmin's service. I could not get my eMap to communicate with my laptop. It communicated with three different workstations, but not my Dell laptop. Garmin tech support insisted that there was obviously something wrong with my laptop. I even read them the error messages from the MapSource program, which cited program line numbers with errors in them. They insisted that the problem was my laptop, not their software. I own my own software company, so I know a software problem from a hardward problem. My modem and PalmPilot work on the laptop but the Garmin does not. Garmin's support staff refused to help or even acknowledge that there was a problem. They refused to bring the problem up with a senior support person or a programmer. I got the same answer no matter how many times I called and no matter who I spoke with. A year went by and I got along by using a workstation. Recently Garmin made an update available for their MapSource program that fixed a communications bug with some laptops. I downloaded it and magically my laptop started communicating with the eMap.If you never need customer support, and you won't travel out of the US, then the eMap is a product you should seriously consider.	0
I have the MDR-150's and these have the exact same sound quality. I have bought several different brands in various price ranges (all the way up to $100), and these are the best bang for the buck. I don't intend to use the built in volume control so hopefully the sound doesn't go out like some of the other reviewers have experienced. The only problem with these Sony's is that fake leather they put on the ear muffs.. it rubs off eventually and it will stick to your ears. Would buy these again if they last a few years.	1
This is a nice unit, and it is interesting to read the glowing reviews of customers who have owned the Garmin eMap for two or three weeks. I have owned the unit for over a year. It works well in the US. It will not guide you street by street to a location, but it will guide you &quot;as the crow flys.&quot; You get a straight line between you and the destination. It works.It does not work well in Europe. I purchased the UK and French CDs. I installed them on the memory card and used them in England, Wales, and all over France. The first problem is that the Garmin eMap just doesn't pick up or hold on to the GPS satellites in Europe very well. It may be that they are too far south or that the antenna is designed for use in US latitudes. I have no explanation but if you intend to use this in Europe, look for another unit.The second problem is that even after loading the UK and French MetroGuides, when you press the Find button you get a list of US cities. I disabled the US city maps and I still got the list of US cities. You cannot &quot;Find&quot; and navigate to a foreign city. The only way to navigate is to know where the city is, then scroll to it on the tiny eMap screen and click on it. If you don't know where the city or tiny Welsh village is, then you are completely out of luck. Very frustrating either way. Again, if you are travelling out of the US you should steer clear of the eMap.My other problem is with Garmin's service. I could not get my eMap to communicate with my laptop. It communicated with three different workstations, but not my Dell laptop. Garmin tech support insisted that there was obviously something wrong with my laptop. I even read them the error messages from the MapSource program, which cited program line numbers with errors in them. They insisted that the problem was my laptop, not their software. I own my own software company, so I know a software problem from a hardward problem. My modem and PalmPilot work on the laptop but the Garmin does not. Garmin's support staff refused to help or even acknowledge that there was a problem. They refused to bring the problem up with a senior support person or a programmer. I got the same answer no matter how many times I called and no matter who I spoke with. A year went by and I got along by using a workstation. Recently Garmin made an update available for their MapSource program that fixed a communications bug with some laptops. I downloaded it and magically my laptop started communicating with the eMap.If you never need customer support, and you won't travel out of the US, then the eMap is a product you should seriously consider.	0
For the price the best.  I have 3 pair of these headphones for all my various listening locations?  The volume control works great and very convenient .	1
I bought this mouse to use with my laptop, which only has one PS/2 port, and I'm using that for an external keyboard.  So I needed a USB mouse, and figured that Microsoft's optical mouse would be a good choice.  Wrong!  Windows 98 had no trouble recognizing the hardware, and the software installed fine, but with the correct driver installed, the mouse's movement was totally erratic.  Just to be clear, I already have a Logitech cordless optical mouse on my desktop PC, so this was not a question of getting used to an optical mouse.  The Microsoft mouse simply refused to work properly, on all types of surfaces.  After 20 minutes of trying very hard to adjust the speed and get the thing to go where I wanted it to go, I gave up.  I should have paid attention to the reviewers here who warned about the poor quality of this product.  I'm returning it to Best Buy tomorrow.	0
For the price the best.  I have 3 pair of these headphones for all my various listening locations?  The volume control works great and very convenient .	1
I bought this mouse to use with my laptop, which only has one PS/2 port, and I'm using that for an external keyboard.  So I needed a USB mouse, and figured that Microsoft's optical mouse would be a good choice.  Wrong!  Windows 98 had no trouble recognizing the hardware, and the software installed fine, but with the correct driver installed, the mouse's movement was totally erratic.  Just to be clear, I already have a Logitech cordless optical mouse on my desktop PC, so this was not a question of getting used to an optical mouse.  The Microsoft mouse simply refused to work properly, on all types of surfaces.  After 20 minutes of trying very hard to adjust the speed and get the thing to go where I wanted it to go, I gave up.  I should have paid attention to the reviewers here who warned about the poor quality of this product.  I'm returning it to Best Buy tomorrow.	0
These are the only headphones I use now. I have been so pleased with them that whenever I want a pair I simply go to my previous purchase, click on the link, add them to the cart, and as if by magic, they appear at my doorstep in two days. I use a set at work, a set on the boat, a set for the stereo, a set for the music gear, etc, etc. Love these headphones.	1
I bought this 650+ with a D Link AirPlus 614+, also supports 22 Mbps. Upon installing the software and rebooting the card came up ok for the first few time. Then it was not recognized by the computer and wanted to reinstall the drivers. Plus, the card did not let me connect to other computers on the network to transfer files. The card has been intermittent and pain. Very bad product or just this set of router and pc card. Do not recomend this line of products. The hub DHCP server died in less than six months. Several techs tried to install and setup and on several Dell laptops. Tried a Linksys USB card and it work great. So think again about purchasing this product.	0
